Date Time,p (mbar),T (degC),Tpot (K),Tdew (degC),rh (%),VPmax (mbar),VPact (mbar),VPdef (mbar),sh (g/kg),H2OC (mmol/mol),rho (g/m**3),wv (m/s),max. wv (m/s),wd (deg),rain (mm),raining (s),SWDR (W/m²),PAR (µmol/m²/s),max. PAR (µmol/m²/s),Tlog (degC),CO2 (ppm)
01.07.2022 06:50:00,988.68,17.36,291.46,14.72,84.5,19.85,16.78,3.08,10.62,16.97,1177.95,1.86,4.45,256.5,0,0,93.89,196.49,221.8,28.58,429.4
01.07.2022 07:00:00,988.8,17.39,291.48,14.66,84,19.89,16.71,3.18,10.58,16.9,1178.01,1.33,2.4,247.6,0,0,108.9,229.66,255.09,28.56,429.2
01.07.2022 07:10:00,988.9,17.52,291.6,14.64,83.2,20.06,16.69,3.37,10.56,16.87,1177.61,0.87,2.17,233.8,0,0,95.47,204.59,260.95,28.55,428.9
01.07.2022 07:20:00,989.19,17.51,291.56,14.69,83.5,20.04,16.74,3.31,10.59,16.92,1177.98,1.22,3,287.7,0,0,58.79,130.56,143.75,28.56,429.4
01.07.2022 07:30:00,989.6,17.35,291.37,14.81,85,19.84,16.87,2.98,10.67,17.04,1179.06,0.99,2.09,250.4,0,0,45.07,101.56,130.72,28.58,429.6
01.07.2022 07:40:00,989.88,17.16,291.16,14.75,85.7,19.6,16.8,2.8,10.63,16.97,1180.19,1.27,2.5,235.5,0,0,56.29,129.13,157.5,28.58,429.4
01.07.2022 07:50:00,989.89,17.03,291.02,14.65,85.9,19.44,16.7,2.74,10.56,16.87,1180.78,1.12,3.58,284.1,0,0,57.39,131.83,157.16,28.57,428.6
01.07.2022 08:00:00,989.84,16.98,290.98,14.5,85.3,19.38,16.53,2.85,10.46,16.7,1181,1.15,2.98,303.3,0,0,51.57,123.45,132.67,28.55,427.9
01.07.2022 08:10:00,989.67,16.79,290.8,14.46,86.1,19.15,16.49,2.66,10.43,16.66,1181.59,1.75,2.92,41.86,0.1,430,41.81,105.86,117.51,28.51,427.7
01.07.2022 08:20:00,989.8,16.51,290.51,14.61,88.5,18.81,16.65,2.16,10.53,16.82,1182.82,1.18,2.33,51.97,0.3,600,29.34,76.67,87.79,28.41,427.9
01.07.2022 08:30:00,990.04,16.02,290,14.6,91.3,18.23,16.65,1.59,10.53,16.81,1185.11,1.62,3.55,279.7,0.5,600,26.17,68.17,88.39,28.23,427.8
01.07.2022 08:40:00,989.99,15.49,289.47,14.45,93.5,17.62,16.48,1.15,10.42,16.65,1187.3,1.45,3.25,15.79,0.2,600,29.99,76.08,105.31,27.99,428.2
01.07.2022 08:50:00,990.16,15.32,289.29,14.59,95.4,17.43,16.63,0.8,10.51,16.8,1188.14,0.88,1.83,97.7,0.6,600,42.39,102.79,121.2,27.69,428.9
01.07.2022 09:00:00,990.5,15.22,289.16,14.54,95.7,17.32,16.58,0.74,10.48,16.74,1188.99,1.46,2.89,267.1,0.4,600,44.25,111.79,118.67,27.39,428.1
01.07.2022 09:10:00,990.77,14.98,288.9,14.64,97.8,17.06,16.68,0.38,10.54,16.84,1190.25,0.91,2.11,241.5,1,600,24.44,64.78,86.31,27.13,428.3
01.07.2022 09:20:00,990.49,14.76,288.7,14.48,98.2,16.82,16.51,0.3,10.44,16.67,1190.9,0.82,2.26,317.3,1.4,600,37.52,99.98,125.98,26.88,427.5
01.07.2022 09:30:00,990.69,14.7,288.62,14.56,99.1,16.75,16.6,0.15,10.49,16.76,1191.35,1.4,3.25,188.9,0.9,600,56.86,136.23,287.03,26.65,427.8
01.07.2022 09:40:00,990.67,14.72,288.64,14.52,98.7,16.77,16.55,0.22,10.46,16.71,1191.27,1.1,2.65,297.8,0.1,380,157.48,357.84,379.68,26.43,427.1
01.07.2022 09:50:00,990.73,14.94,288.86,14.56,97.6,17.01,16.6,0.41,10.49,16.76,1190.41,1.01,2.17,344.5,0,110,129.34,293.84,366.01,26.25,426.1
01.07.2022 10:00:00,990.94,15.01,288.91,14.41,96.2,17.09,16.44,0.65,10.38,16.59,1190.45,0.87,2.18,208.1,0,0,98.93,227.91,251.65,26.13,424.9
01.07.2022 10:10:00,991.14,15.01,288.89,14.18,94.8,17.09,16.2,0.89,10.23,16.35,1190.8,1.34,2.99,325.8,0,0,120.27,269.13,298.61,26.07,423.6
01.07.2022 10:20:00,991.23,15.05,288.93,14.42,96,17.13,16.45,0.69,10.39,16.59,1190.63,0.79,1.86,265.9,0,270,145.49,321.3,463.32,26.05,423.4
01.07.2022 10:30:00,991.19,15.18,289.06,14.4,95.1,17.28,16.43,0.85,10.38,16.58,1190.05,1.52,4.14,257.3,0,0,213.38,472.64,481.95,26.07,423.2
01.07.2022 10:40:00,991.16,15.26,289.14,14.43,94.8,17.37,16.46,0.9,10.4,16.61,1189.67,1.15,2.72,18.82,0,480,166.23,365.48,433.08,26.14,422.8
01.07.2022 10:50:00,991.15,15.24,289.12,14.4,94.7,17.34,16.42,0.92,10.37,16.57,1189.76,1.01,3.13,296.1,0,270,144.81,316.36,361.4,26.22,423.1
01.07.2022 11:00:00,991.26,15.5,289.38,14.59,94.3,17.64,16.63,1.01,10.5,16.78,1188.72,0.96,2.91,269.6,0,0,279.28,601.92,846.89,26.28,423.3
01.07.2022 11:10:00,991.35,15.61,289.48,14.32,92,17.76,16.34,1.42,10.32,16.48,1188.51,2.15,3.84,303.1,0,250,296.74,638.67,792.72,26.38,422.5
01.07.2022 11:20:00,991.35,15.43,289.3,14.12,91.9,17.56,16.14,1.42,10.19,16.28,1189.35,2.04,4.65,263.9,0,0,204.43,454.83,515.61,26.52,422.3
01.07.2022 11:30:00,991.27,15.34,289.21,14.05,92,17.46,16.06,1.4,10.14,16.2,1189.66,1.96,4.19,272.9,0,0,211.68,470.26,517.2,26.65,422.3
01.07.2022 11:40:00,991.29,15.33,289.2,13.89,91.1,17.44,15.89,1.55,10.03,16.03,1189.8,2.19,4.93,255.8,0,0,256.88,568.67,635.95,26.76,422.2
01.07.2022 11:50:00,991.48,15.56,289.42,14.17,91.4,17.7,16.18,1.52,10.21,16.32,1188.95,1.54,3.03,230.3,0,0,266,581.85,638.74,26.86,421.8
01.07.2022 12:00:00,991.62,15.76,289.61,14.11,89.9,17.93,16.12,1.81,10.17,16.26,1188.32,1.85,3.47,269.4,0,0,319.27,698.44,748.1,26.99,421.9
01.07.2022 12:10:00,991.73,15.86,289.7,13.97,88.5,18.05,15.97,2.08,10.08,16.11,1188.11,2.25,5.56,253.7,0,0,318.13,686.52,849.48,27.16,421.3
01.07.2022 12:20:00,991.89,16.07,289.89,14.17,88.5,18.29,16.19,2.1,10.21,16.32,1187.34,1.67,3.55,280.6,0,0,346.82,744.13,885.88,27.35,420.9
01.07.2022 12:30:00,992.02,16.23,290.04,14.42,89,18.48,16.45,2.03,10.38,16.58,1186.72,1.18,3.18,246.6,0,0,132.8,304.39,464.75,27.56,421
01.07.2022 12:40:00,992.09,15.74,289.55,14.19,90.5,17.91,16.21,1.7,10.23,16.34,1188.93,1.31,2.63,255.7,0,40,92.83,218.55,318.13,27.76,423
01.07.2022 12:50:00,992.09,15.26,289.07,14.15,93.1,17.37,16.17,1.2,10.2,16.3,1190.93,1.84,3.41,256.2,0,0,151.79,341.29,480.97,27.87,423.8
01.07.2022 13:00:00,992.03,15.16,288.97,13.99,92.7,17.26,16,1.26,10.09,16.12,1191.34,1.6,3.41,281.4,0.1,0,187.8,415.71,491.24,27.89,423.3
01.07.2022 13:10:00,991.93,15.02,288.84,13.91,93.1,17.1,15.92,1.18,10.04,16.05,1191.84,1.42,3.69,290.6,0,230,166.58,367.39,586.3,27.88,423.4
01.07.2022 13:20:00,991.83,15.09,288.92,13.85,92.3,17.18,15.85,1.32,10,15.99,1191.46,1.78,3.36,260.9,0,220,281.56,603.91,660.92,27.82,423.1
01.07.2022 13:30:00,991.97,15.45,289.27,13.73,89.5,17.58,15.73,1.85,9.93,15.86,1190.2,1.85,4.71,248.5,0,0,204.56,435.33,502.41,27.77,422.1
01.07.2022 13:40:00,992.07,15.39,289.2,13.57,88.9,17.51,15.57,1.94,9.82,15.69,1190.64,2.17,3.45,261.1,0,0,149.7,330.48,393.09,27.76,421.5
01.07.2022 13:50:00,992.15,15.17,288.97,13.53,89.9,17.27,15.52,1.74,9.79,15.65,1191.67,1.95,3.58,257,0,0,84.04,191.46,239.75,27.73,422
01.07.2022 14:00:00,992.37,14.97,288.75,13.58,91.4,17.05,15.58,1.47,9.82,15.7,1192.74,1.89,3.52,244.1,0,0,73.59,169.26,256.92,27.65,422.3
01.07.2022 14:10:00,992.63,14.91,288.67,13.37,90.5,16.98,15.37,1.61,9.69,15.48,1193.39,2.18,4.3,256.9,0,0,132.97,310.74,329.2,27.54,421.8
01.07.2022 14:20:00,992.7,15.07,288.82,13.27,89,17.16,15.27,1.89,9.62,15.38,1192.86,1.83,4.22,254.3,0,0,166.93,383.7,424.94,27.41,420.8
01.07.2022 14:30:00,992.77,15.2,288.95,13.26,88.2,17.3,15.26,2.04,9.62,15.37,1192.42,2.22,4.16,256.7,0,0,136.32,311.63,339.28,27.31,419.8
01.07.2022 14:40:00,992.75,15.21,288.96,13.12,87.3,17.31,15.11,2.2,9.52,15.22,1192.42,2.2,4.52,256.9,0,0,118.71,267.34,322.39,27.25,419.7
01.07.2022 14:50:00,992.76,15.19,288.94,12.97,86.6,17.29,14.97,2.32,9.43,15.08,1192.57,1.68,3.22,247.6,0,0,100.06,227.87,254.51,27.19,419.9
01.07.2022 15:00:00,992.74,15.21,288.96,12.94,86.3,17.31,14.94,2.37,9.41,15.05,1192.48,1.53,3.09,237.4,0,0,96.76,218.8,264.44,27.13,419.9
01.07.2022 15:10:00,992.91,15.23,288.97,13.05,86.8,17.33,15.05,2.29,9.48,15.15,1192.55,1.13,2.75,224.5,0,0,79.29,182.37,192.33,27.08,420.2
01.07.2022 15:20:00,992.99,15.26,288.99,13.11,87,17.37,15.11,2.26,9.52,15.22,1192.5,0.99,1.96,161.9,0,0,60.93,143.43,175.61,27.03,420.7
01.07.2022 15:30:00,993.04,15.33,289.06,13.18,87,17.44,15.18,2.27,9.56,15.28,1192.24,1.15,1.84,187.7,0,0,64.14,150.89,168.53,26.98,421
01.07.2022 15:40:00,993.09,15.39,289.11,13.4,87.9,17.51,15.39,2.12,9.7,15.5,1191.95,1.11,1.98,120.2,0,420,61.03,140.26,160.52,26.94,422.7
01.07.2022 15:50:00,993.62,15.37,289.05,13.33,87.6,17.49,15.32,2.17,9.65,15.42,1192.71,1.52,2.27,208.6,0.1,440,63.47,144.58,173.15,26.89,422
01.07.2022 16:00:00,993.83,15.17,288.83,13.75,91.2,17.27,15.75,1.52,9.91,15.84,1193.59,1.15,2.18,242.8,0.1,530,119.26,271.84,324.4,26.83,421.8
01.07.2022 16:10:00,993.81,15.19,288.85,13.88,91.9,17.29,15.89,1.4,10,15.99,1193.42,1.39,3.03,249.8,0,120,172.19,376.57,411.31,26.77,420.1
01.07.2022 16:20:00,993.45,15.27,288.96,13.71,90.4,17.38,15.71,1.67,9.89,15.81,1192.73,1.34,2.84,265.2,0,0,174.1,372.4,435.23,26.73,419.4
01.07.2022 16:30:00,993.66,15.43,289.11,13.82,90.1,17.56,15.82,1.74,9.96,15.92,1192.28,1.98,3.67,217.7,0,80,223.77,467.45,755.85,26.71,419.4
01.07.2022 16:40:00,993.87,15.75,289.41,13.56,86.8,17.92,15.56,2.37,9.79,15.65,1191.33,1.21,2.42,229.9,0,0,184.07,387.24,443.69,26.71,418.4
01.07.2022 16:50:00,993.9,15.67,289.33,13.11,84.7,17.83,15.1,2.73,9.51,15.19,1191.9,1.6,2.72,258.7,0,0,138.07,294.98,377.37,26.76,416.5
01.07.2022 17:00:00,993.8,15.5,289.16,12.99,85,17.64,14.99,2.65,9.44,15.08,1192.54,1.4,2.62,263,0,0,83.84,183.71,214.81,26.82,416
01.07.2022 17:10:00,993.76,15.32,288.99,12.92,85.6,17.43,14.92,2.51,9.39,15.02,1193.27,1.56,2.61,261.9,0,0,92.65,201.14,237.74,26.85,415.9
01.07.2022 17:20:00,993.57,15.34,289.02,12.98,85.8,17.46,14.98,2.48,9.43,15.07,1192.93,1.79,2.85,242.5,0,0,138.47,290.35,312.11,26.85,415.9
01.07.2022 17:30:00,993.71,15.43,289.1,13.21,86.6,17.56,15.2,2.35,9.57,15.3,1192.63,1.41,2.17,252.2,0,0,160.51,334.78,621.53,26.84,415.4
01.07.2022 17:40:00,993.87,15.81,289.47,13.21,84.5,17.99,15.2,2.79,9.57,15.3,1191.25,1.5,2.52,242.8,0,0,224.81,468.38,815.75,26.85,414.6
01.07.2022 17:50:00,993.68,16.26,289.94,13.19,82,18.51,15.18,3.33,9.56,15.28,1189.18,1.18,1.86,235.9,0,0,207.96,451.6,813.64,26.92,414.9
01.07.2022 18:00:00,993.79,16.85,290.52,13.18,78.96,19.22,15.18,4.04,9.56,15.27,1186.89,1.18,1.88,225.3,0,0,337.04,686.53,719.65,27.04,415.2
01.07.2022 18:10:00,994.03,17.28,290.93,13.17,76.79,19.75,15.17,4.58,9.55,15.26,1185.42,1.26,2.56,250.3,0,0,268.15,544.62,732.77,27.25,415.3
01.07.2022 18:20:00,994.06,17.47,291.12,12.95,74.79,19.99,14.95,5.04,9.41,15.04,1184.79,1.4,2.59,232.9,0,0,285.99,552.46,671.43,27.54,415.7
01.07.2022 18:30:00,994.07,17.98,291.63,13.25,73.82,20.65,15.24,5.41,9.59,15.33,1182.59,1,1.82,222.4,0,0,237.47,457.13,490.71,27.77,416.3
01.07.2022 18:40:00,994.18,18.05,291.69,13.14,72.99,20.74,15.14,5.6,9.52,15.22,1182.49,0.74,1.37,252.9,0,0,166.73,325.67,426.13,27.4,416.9
01.07.2022 18:50:00,994.2,18,291.63,13.02,72.64,20.67,15.02,5.66,9.45,15.1,1182.77,0.42,0.98,249,0,0,152.01,295.01,348.77,27.28,416.9
01.07.2022 19:00:00,994.36,18.15,291.77,12.88,71.29,20.87,14.88,5.99,9.36,14.96,1182.41,0.48,0.76,257.5,0,0,126.8,252.27,315.04,27.38,416
01.07.2022 19:10:00,994.5,17.92,291.53,12.72,71.61,20.57,14.73,5.84,9.26,14.81,1183.58,0.26,0.55,232,0,0,46.4,129.02,166.27,27.46,415.9
01.07.2022 19:20:00,994.43,17.39,291,12.62,73.56,19.89,14.63,5.26,9.2,14.71,1185.69,0.52,1.01,208.4,0,0,50.82,130.46,137.52,27.41,416.2
01.07.2022 19:30:00,994.51,16.7,290.31,12.79,77.69,19.04,14.79,4.25,9.3,14.87,1188.55,0.89,1.35,217.8,0,0,37.7,101.41,114.4,27.27,416
01.07.2022 19:40:00,994.59,16.31,289.91,13.25,82.1,18.57,15.25,3.32,9.59,15.33,1190.04,1.04,2.14,168.1,0,0,27.2,79.16,88.51,27.08,418
01.07.2022 19:50:00,994.56,16.07,289.67,13.37,84,18.29,15.37,2.93,9.67,15.45,1190.93,1.13,2.15,191.6,0,0,20.84,62.66,70.05,26.86,418.6
01.07.2022 20:00:00,994.67,15.72,289.31,13.37,85.9,17.89,15.36,2.52,9.66,15.45,1192.51,1.2,1.84,206.2,0,0,15.86,49.2,55.87,26.61,418.5
01.07.2022 20:10:00,994.79,15.49,289.07,13.27,86.6,17.62,15.26,2.36,9.6,15.34,1193.65,1.12,1.73,205.3,0,0,10.89,36.1,42.49,26.35,417.7
01.07.2022 20:20:00,994.81,15.45,289.03,13.09,85.8,17.58,15.08,2.5,9.49,15.16,1193.92,2.06,2.91,238.9,0,0,6.75,24.11,29.8,26.09,416.5
01.07.2022 20:30:00,994.9,15.69,289.26,12.93,83.6,17.85,14.92,2.93,9.38,15,1193.11,2.13,2.69,239.1,0,0,3.21,14.41,18.65,25.8,416.7
01.07.2022 20:40:00,995.1,15.46,289.02,13.06,85.6,17.59,15.06,2.53,9.47,15.13,1194.24,1.8,2.4,244.9,0,0,0.2,7.56,10.51,25.5,418.1
01.07.2022 20:50:00,995.28,15.22,288.76,12.97,86.4,17.32,14.97,2.36,9.41,15.04,1195.49,1.9,3.02,232.4,0,0,0,3.25,4.94,25.22,419.3
01.07.2022 21:00:00,995.46,14.8,288.32,12.99,88.9,16.86,14.99,1.87,9.42,15.06,1197.45,1.89,3.18,249.6,0,0,0,1.1,1.84,24.94,422
01.07.2022 21:10:00,995.64,14.75,288.26,13.03,89.4,16.81,15.02,1.78,9.44,15.09,1197.86,1.25,1.73,242.2,0,0,0,0,0,24.66,423.5
01.07.2022 21:20:00,995.85,14.76,288.25,12.9,88.6,16.82,14.9,1.92,9.36,14.96,1198.13,1.38,1.81,213.8,0,0,0,0,0,24.4,423.8
01.07.2022 21:30:00,995.94,14.55,288.04,12.86,89.6,16.59,14.86,1.73,9.34,14.92,1199.12,1.61,2.24,229.9,0,0,0,0,0,24.19,425
01.07.2022 21:40:00,995.98,14.43,287.91,13.1,91.7,16.46,15.09,1.37,9.48,15.16,1199.57,1.31,2.05,220.1,0,0,0,0,0,24.03,427.2
01.07.2022 21:50:00,996.02,14.27,287.75,13.17,93.1,16.29,15.17,1.12,9.53,15.23,1200.25,0.85,1.7,215.4,0,0,0,0,0,23.92,428.6
01.07.2022 22:00:00,996.18,14.1,287.56,13.31,95,16.11,15.31,0.81,9.61,15.37,1201.09,1.31,2.5,136.8,0,0,0,0,0,23.81,434.6
01.07.2022 22:10:00,996.3,14,287.45,13.42,96.3,16.01,15.42,0.59,9.68,15.47,1201.6,0.78,2.08,190.7,0,0,0,0,0,23.71,438.6
01.07.2022 22:20:00,996.43,13.87,287.31,13.39,96.9,15.87,15.38,0.49,9.66,15.44,1202.32,0.96,1.83,202.5,0,0,0,0,0,23.61,439.4
01.07.2022 22:30:00,996.49,13.67,287.11,13.38,98.1,15.67,15.37,0.3,9.65,15.43,1203.25,1.7,2.4,210.3,0,0,0,0,0,23.51,437.3
01.07.2022 22:40:00,996.55,13.48,286.91,13.31,98.9,15.48,15.31,0.17,9.61,15.36,1204.14,1.71,2.53,202.4,0,0,0,0,0,23.4,435.7
01.07.2022 22:50:00,996.66,13.57,286.99,13.24,97.9,15.57,15.24,0.33,9.57,15.29,1203.92,1.35,2.09,193,0,0,0,0,0,23.26,435.2
01.07.2022 23:00:00,996.73,13.58,287,13.19,97.5,15.58,15.19,0.39,9.53,15.24,1203.99,1.16,2.05,197,0,0,0,0,0,23.14,435.1
01.07.2022 23:10:00,996.8,13.51,286.92,13.11,97.4,15.51,15.1,0.4,9.48,15.15,1204.41,1.65,2.31,209,0,0,0,0,0,23.05,434.6
01.07.2022 23:20:00,996.71,13.56,286.98,12.98,96.3,15.56,14.98,0.58,9.4,15.03,1204.15,1.59,2.46,207.7,0,0,0,0,0,22.97,432.6
01.07.2022 23:30:00,996.82,13.51,286.92,12.9,96.1,15.51,14.9,0.6,9.35,14.95,1204.53,1.77,2.74,210.3,0,0,0,0,0,22.89,434.1
01.07.2022 23:40:00,997,13.34,286.74,12.87,97,15.34,14.88,0.46,9.33,14.92,1205.47,1.54,2.86,196.4,0,0,0,0,0,22.79,438.4
01.07.2022 23:50:00,996.94,13,286.4,12.83,98.9,15,14.83,0.16,9.31,14.88,1206.85,2.06,3.05,212.6,0,0,0,0,0,22.7,441.6
02.07.2022 00:00:00,996.92,12.8,286.2,12.78,99.9,14.8,14.79,0.01,9.28,14.83,1207.69,1.65,2.56,222.3,0,0,0,0,0,22.57,441.8
02.07.2022 00:10:00,996.94,12.74,286.14,12.74,100,14.74,14.74,0,9.25,14.79,1207.99,1.96,2.55,201.5,0,0,0,0,0,22.39,444.5
02.07.2022 00:20:00,996.95,12.68,286.08,12.68,100,14.69,14.69,0,9.21,14.73,1208.29,2.16,3.39,204,0,0,0,0,0,22.22,444.3
02.07.2022 00:30:00,997.01,12.44,285.84,12.44,100,14.46,14.46,0,9.07,14.5,1209.47,2,2.84,211.1,0,0,0,0,0,22.04,446.1
02.07.2022 00:40:00,997.09,12.23,285.62,12.23,100,14.26,14.26,0,8.94,14.3,1210.55,1.82,2.59,222.5,0,0,0,0,0,21.87,448.2
02.07.2022 00:50:00,997.08,12.11,285.5,12.11,100,14.15,14.15,0,8.87,14.19,1211.11,1.67,2.61,220.8,0,0,0,0,0,21.7,446.8
